tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.6	074.9	49.4	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:40:24	1.918e-05	3.51e-07	3.191e-02	2.92e-09	3.66e-09	6.69e-10	8	273	D6A-2031a_LP-DIR-AF-29	LT-AF-Z:LP-DIR-AF	g	28	pmagpy-4.4.0	D6A-2031a	u	9.500e-02	0	0.00	0.00	28	273
	This study		0.7	075.2	50.0	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:42:00	1.809e-05	3.31e-07	3.009e-02	2.82e-09	3.47e-09	6.60e-10	8	273	D6A-2031a_LP-DIR-AF-30	LT-AF-Z:LP-DIR-AF	g	29	pmagpy-4.4.0	D6A-2031a	u	1.000e-01	0	0.00	0.00	29	273
	This study		0.7	074.5	50.7	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:43:36	1.661e-05	3.04e-07	2.764e-02	2.73e-09	3.34e-09	5.97e-10	8	273	D6A-2031a_LP-DIR-AF-31	LT-AF-Z:LP-DIR-AF	g	30	pmagpy-4.4.0	D6A-2031a	u	1.050e-01	0	0.00	0.00	30	273
	This study		0.6	073.7	49.0	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:47:03	1.459e-05	2.67e-07	2.427e-02	2.07e-09	2.70e-09	5.64e-10	8	273	D6A-2031a_LP-DIR-AF-32	LT-AF-Z:LP-DIR-AF	g	31	pmagpy-4.4.0	D6A-2031a	u	1.100e-01	0	0.00	0.00	31	273
	This study		0.6	071.0	48.9	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:50:30	1.290e-05	2.36e-07	2.145e-02	1.73e-09	2.16e-09	5.96e-10	8	273	D6A-2031a_LP-DIR-AF-33	LT-AF-Z:LP-DIR-AF	g	32	pmagpy-4.4.0	D6A-2031a	u	1.150e-01	0	0.00	0.00	32	273
	This study		0.7	079.1	52.6	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:53:02	1.180e-05	2.16e-07	1.964e-02	1.98e-09	2.45e-09	1.39e-10	8	273	D6A-2031a_LP-DIR-AF-34	LT-AF-Z:LP-DIR-AF	g	33	pmagpy-4.4.0	D6A-2031a	u	1.200e-01	0	0.00	0.00	33	273
	This study		0.7	071.4	50.5	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:54:38	1.082e-05	1.98e-07	1.800e-02	1.70e-09	2.46e-09	3.15e-10	8	273	D6A-2031a_LP-DIR-AF-35	LT-AF-Z:LP-DIR-AF	g	34	pmagpy-4.4.0	D6A-2031a	u	1.250e-01	0	0.00	0.00	34	273
	This study		0.7	072.6	45.3	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:58:06	9.563e-06	1.75e-07	1.591e-02	1.57e-09	2.02e-09	2.25e-10	8	273	D6A-2031a_LP-DIR-AF-36	LT-AF-Z:LP-DIR-AF	g	35	pmagpy-4.4.0	D6A-2031a	u	1.300e-01	0	0.00	0.00	35	273
	This study		0.3	192.7	-03.7	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 18:42:57		2.37e-06	2.155e-01	6.84e-09	8.47e-09	9.97e-09	8	273	D6A-2046a_LP-DIR-AF-37	LT-NO:LP-DIR-AF	g	36	pmagpy-4.4.0	D6A-2046a	u	0	0	0.00	0.00	0	273
	This study		0.3	194.1	-03.6	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 18:46:23		2.31e-06	2.100e-01	7.19e-09	9.98e-09	9.29e-09	8	273	D6A-2046a_LP-DIR-AF-38	LT-AF-Z:LP-DIR-AF	g	37	pmagpy-4.4.0	D6A-2046a	u	1.000e-03	0	0.00	0.00	1	273
	This study		0.4	195.2	-03.1	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 18:49:50		2.14e-06	1.945e-01	7.02e-09	9.58e-09	8.35e-09	8	273	D6A-2046a_LP-DIR-AF-39	LT-AF-Z:LP-DIR-AF	g	38	pmagpy-4.4.0	D6A-2046a	u	2.000e-03	0	0.00	0.00	2	273
	This study		0.4	196.6	-02.3	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 18:53:16		1.94e-06	1.764e-01	6.75e-09	9.48e-09	7.37e-09	8	273	D6A-2046a_LP-DIR-AF-40	LT-AF-Z:LP-DIR-AF	g	39	pmagpy-4.4.0	D6A-2046a	u	3.000e-03	0	0.00	0.00	3	273
	This study		0.4	198.2	-00.8	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 18:56:43		1.73e-06	1.573e-01	6.15e-09	8.31e-09	6.58e-09	8	273	D6A-2046a_LP-DIR-AF-41	LT-AF-Z:LP-DIR-AF	g	40	pmagpy-4.4.0	D6A-2046a	u	4.000e-03	0	0.00	0.00	4	273
	This study		0.4	199.4	00.1	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:00:09		1.59e-06	1.445e-01	5.61e-09	7.63e-09	6.08e-09	8	273	D6A-2046a_LP-DIR-AF-42	LT-AF-Z:LP-DIR-AF	g	41	pmagpy-4.4.0	D6A-2046a	u	5.000e-03	0	0.00	0.00	5	273
	This study		0.4	202.2	04.2	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:03:35		1.25e-06	1.136e-01	4.24e-09	6.06e-09	4.62e-09	8	273	D6A-2046a_LP-DIR-AF-43	LT-AF-Z:LP-DIR-AF	g	42	pmagpy-4.4.0	D6A-2046a	u	7.500e-03	0	0.00	0.00	6	273
	This study		0.4	205.3	08.2	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:06:06		1.04e-06	9.455e-02	3.52e-09	4.68e-09	4.35e-09	8	273	D6A-2046a_LP-DIR-AF-44	LT-AF-Z:LP-DIR-AF	g	43	pmagpy-4.4.0	D6A-2046a	u	1.000e-02	0	0.00	0.00	7	273
	This study		0.4	207.2	12.0	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:07:41		9.05e-07	8.227e-02	2.98e-09	4.13e-09	4.12e-09	8	273	D6A-2046a_LP-DIR-AF-45	LT-AF-Z:LP-DIR-AF	g	44	pmagpy-4.4.0	D6A-2046a	u	1.250e-02	0	0.00	0.00	8	273
	This study		0.4	209.4	14.8	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:09:16		8.05e-07	7.318e-02	2.46e-09	3.75e-09	3.57e-09	8	273	D6A-2046a_LP-DIR-AF-46	LT-AF-Z:LP-DIR-AF	g	45	pmagpy-4.4.0	D6A-2046a	u	1.500e-02	0	0.00	0.00	9	273
	This study		0.4	211.5	18.6	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:10:51		7.05e-07	6.409e-02	2.41e-09	3.25e-09	3.30e-09	8	273	D6A-2046a_LP-DIR-AF-47	LT-AF-Z:LP-DIR-AF	g	46	pmagpy-4.4.0	D6A-2046a	u	1.750e-02	0	0.00	0.00	10	273
