tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.6	084.5	82.3	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 15:26:05	2.329e-03	5.48e-05	4.982e+00	4.15e-07	3.39e-07	4.14e-07	8	273	D6A-1857a_LP-DIR-AF-47	LT-NO:LP-DIR-AF	g	46	pmagpy-4.4.0	D6A-1857a	u	0	0	0.00	0.00	0	273
	This study		0.5	084.8	82.4	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:37:46	2.329e-03	5.48e-05	4.982e+00	3.85e-07	3.09e-07	4.04e-07	8	273	D6A-1857a_LP-DIR-AF-48	LT-NO:LP-DIR-AF	g	47	pmagpy-4.4.0	D6A-1857a	u	0	0	0.00	0.00	1	273
	This study		0.5	086.4	82.5	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:39:22	2.295e-03	5.40e-05	4.909e+00	3.79e-07	3.02e-07	3.98e-07	8	273	D6A-1857a_LP-DIR-AF-49	LT-AF-Z:LP-DIR-AF	g	48	pmagpy-4.4.0	D6A-1857a	u	1.000e-03	0	0.00	0.00	2	273
	This study		0.5	089.4	82.5	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:40:58	2.189e-03	5.15e-05	4.682e+00	3.64e-07	2.93e-07	3.79e-07	8	273	D6A-1857a_LP-DIR-AF-50	LT-AF-Z:LP-DIR-AF	g	49	pmagpy-4.4.0	D6A-1857a	u	2.000e-03	0	0.00	0.00	3	273
	This study		0.5	090.8	82.3	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:42:34	2.006e-03	4.72e-05	4.291e+00	3.41e-07	2.75e-07	3.59e-07	8	273	D6A-1857a_LP-DIR-AF-51	LT-AF-Z:LP-DIR-AF	g	50	pmagpy-4.4.0	D6A-1857a	u	3.000e-03	0	0.00	0.00	4	273
	This study		0.5	090.6	82.1	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:44:10	1.789e-03	4.21e-05	3.827e+00	3.12e-07	2.54e-07	3.41e-07	8	273	D6A-1857a_LP-DIR-AF-52	LT-AF-Z:LP-DIR-AF	g	51	pmagpy-4.4.0	D6A-1857a	u	4.000e-03	0	0.00	0.00	5	273
	This study		0.6	088.9	81.8	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:45:46	1.538e-03	3.62e-05	3.291e+00	2.77e-07	2.29e-07	3.09e-07	8	273	D6A-1857a_LP-DIR-AF-53	LT-AF-Z:LP-DIR-AF	g	52	pmagpy-4.4.0	D6A-1857a	u	5.000e-03	0	0.00	0.00	6	273
	This study		0.6	079.0	80.7	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:47:22	9.520e-04	2.24e-05	2.036e+00	1.86e-07	1.60e-07	2.18e-07	8	273	D6A-1857a_LP-DIR-AF-54	LT-AF-Z:LP-DIR-AF	g	53	pmagpy-4.4.0	D6A-1857a	u	7.500e-03	0	0.00	0.00	7	273
	This study		0.7	065.4	78.6	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:49:53	6.077e-04	1.43e-05	1.300e+00	1.22e-07	1.12e-07	1.51e-07	8	273	D6A-1857a_LP-DIR-AF-55	LT-AF-Z:LP-DIR-AF	g	54	pmagpy-4.4.0	D6A-1857a	u	1.000e-02	0	0.00	0.00	8	273
	This study		0.8	055.0	76.0	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:51:29	4.097e-04	9.64e-06	8.764e-01	8.87e-08	8.25e-08	1.07e-07	8	273	D6A-1857a_LP-DIR-AF-56	LT-AF-Z:LP-DIR-AF	g	55	pmagpy-4.4.0	D6A-1857a	u	1.250e-02	0	0.00	0.00	9	273
	This study		0.9	049.2	72.7	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:53:05	2.945e-04	6.93e-06	6.300e-01	6.93e-08	6.52e-08	7.99e-08	8	273	D6A-1857a_LP-DIR-AF-57	LT-AF-Z:LP-DIR-AF	g	56	pmagpy-4.4.0	D6A-1857a	u	1.500e-02	0	0.00	0.00	10	273
	This study		0.9	045.2	69.3	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:54:41	2.197e-04	5.17e-06	4.700e-01	5.34e-08	5.33e-08	6.15e-08	8	273	D6A-1857a_LP-DIR-AF-58	LT-AF-Z:LP-DIR-AF	g	57	pmagpy-4.4.0	D6A-1857a	u	1.750e-02	0	0.00	0.00	11	273
	This study		1.0	042.3	66.1	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:56:16	1.700e-04	4.00e-06	3.636e-01	4.58e-08	4.57e-08	4.89e-08	8	273	D6A-1857a_LP-DIR-AF-59	LT-AF-Z:LP-DIR-AF	g	58	pmagpy-4.4.0	D6A-1857a	u	2.000e-02	0	0.00	0.00	12	273
	This study		1.2	040.0	63.0	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:57:52	1.330e-04	3.13e-06	2.845e-01	3.83e-08	4.03e-08	3.85e-08	8	273	D6A-1857a_LP-DIR-AF-60	LT-AF-Z:LP-DIR-AF	g	59	pmagpy-4.4.0	D6A-1857a	u	2.250e-02	0	0.00	0.00	13	273
	This study		1.2	040.4	60.4	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 16:59:28	1.088e-04	2.56e-06	2.327e-01	3.35e-08	3.52e-08	3.17e-08	8	273	D6A-1857a_LP-DIR-AF-61	LT-AF-Z:LP-DIR-AF	g	60	pmagpy-4.4.0	D6A-1857a	u	2.500e-02	0	0.00	0.00	14	273
	This study		1.4	040.8	56.2	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:01:04	9.095e-05	2.14e-06	1.945e-01	3.12e-08	3.36e-08	2.71e-08	8	273	D6A-1857a_LP-DIR-AF-62	LT-AF-Z:LP-DIR-AF	g	61	pmagpy-4.4.0	D6A-1857a	u	2.750e-02	0	0.00	0.00	15	273
	This study		1.5	041.6	52.8	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:02:40	7.820e-05	1.84e-06	1.673e-01	2.91e-08	3.11e-08	2.38e-08	8	273	D6A-1857a_LP-DIR-AF-63	LT-AF-Z:LP-DIR-AF	g	62	pmagpy-4.4.0	D6A-1857a	u	3.000e-02	0	0.00	0.00	16	273
	This study		1.6	042.9	47.7	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:04:16	6.120e-05	1.44e-06	1.309e-01	2.55e-08	2.76e-08	1.88e-08	8	273	D6A-1857a_LP-DIR-AF-64	LT-AF-Z:LP-DIR-AF	g	63	pmagpy-4.4.0	D6A-1857a	u	3.500e-02	0	0.00	0.00	17	273
	This study		1.8	042.0	46.9	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:05:52	4.972e-05	1.17e-06	1.064e-01	2.32e-08	2.58e-08	1.66e-08	8	273	D6A-1857a_LP-DIR-AF-65	LT-AF-Z:LP-DIR-AF	g	64	pmagpy-4.4.0	D6A-1857a	u	4.000e-02	0	0.00	0.00	18	273
	This study		1.9	042.1	41.5	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:07:28	4.377e-05	1.03e-06	9.364e-02	2.16e-08	2.36e-08	1.52e-08	8	273	D6A-1857a_LP-DIR-AF-66	LT-AF-Z:LP-DIR-AF	g	65	pmagpy-4.4.0	D6A-1857a	u	4.500e-02	0	0.00	0.00	19	273
	This study		2.0	039.6	40.5	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:09:04	4.105e-05	9.66e-07	8.782e-02	2.08e-08	2.34e-08	1.44e-08	8	273	D6A-1857a_LP-DIR-AF-67	LT-AF-Z:LP-DIR-AF	g	66	pmagpy-4.4.0	D6A-1857a	u	5.000e-02	0	0.00	0.00	20	273
	This study		2.0	046.4	37.9	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:10:40	3.906e-05	9.19e-07	8.355e-02	2.05e-08	2.30e-08	1.40e-08	8	273	D6A-1857a_LP-DIR-AF-68	LT-AF-Z:LP-DIR-AF	g	67	pmagpy-4.4.0	D6A-1857a	u	5.500e-02	0	0.00	0.00	21	273
	This study		2.0	052.0	34.3	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:12:16	3.655e-05	8.60e-07	7.818e-02	1.92e-08	2.16e-08	1.43e-08	8	273	D6A-1857a_LP-DIR-AF-69	LT-AF-Z:LP-DIR-AF	g	68	pmagpy-4.4.0	D6A-1857a	u	6.000e-02	0	0.00	0.00	22	273
	This study		2.0	050.5	30.1	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:13:52	3.604e-05	8.48e-07	7.709e-02	1.99e-08	2.14e-08	1.40e-08	8	273	D6A-1857a_LP-DIR-AF-70	LT-AF-Z:LP-DIR-AF	g	69	pmagpy-4.4.0	D6A-1857a	u	6.500e-02	0	0.00	0.00	23	273
	This study		2.1	049.0	30.6	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:16:24	3.434e-05	8.08e-07	7.345e-02	1.93e-08	2.09e-08	1.48e-08	8	273	D6A-1857a_LP-DIR-AF-71	LT-AF-Z:LP-DIR-AF	g	70	pmagpy-4.4.0	D6A-1857a	u	7.000e-02	0	0.00	0.00	24	273
	This study		2.2	049.3	29.8	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:18:00	3.366e-05	7.92e-07	7.200e-02	2.01e-08	2.19e-08	1.43e-08	8	273	D6A-1857a_LP-DIR-AF-72	LT-AF-Z:LP-DIR-AF	g	71	pmagpy-4.4.0	D6A-1857a	u	7.500e-02	0	0.00	0.00	25	273
	This study		2.1	049.9	27.6	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:19:36	3.217e-05	7.57e-07	6.882e-02	1.77e-08	2.00e-08	1.43e-08	8	273	D6A-1857a_LP-DIR-AF-73	LT-AF-Z:LP-DIR-AF	g	72	pmagpy-4.4.0	D6A-1857a	u	8.000e-02	0	0.00	0.00	26	273
	This study		2.1	051.1	26.4	D6A-1857a_LP-DIR-AF	hargrave 2026-07-21 17:21:12	3.175e-05	7.47e-07	6.791e-02	1.80e-08	1.93e-08	1.44e-08	8	273	D6A-1857a_LP-DIR-AF-74	LT-AF-Z:LP-DIR-AF	g	73	pmagpy-4.4.0	D6A-1857a	u	8.500e-02	0	0.00	0.00	27	273
