tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
D6A-1171a_LP-DIR-AF-155	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.7	263.8	 47.2 	 1.500e-02	0	0.00	0.00	9	273	This study	hargrave 2026-07-23 06:04:08	LT-AF-Z:LP-DIR-AF	g	154	u	8	273			pmagpy-4.4.0	1.47e-05	1.41e-07	1.52e-07	7.44e-08
D6A-1171a_LP-DIR-AF-156	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.7	263.7	 46.6 	 1.750e-02	0	0.00	0.00	10	273	This study	hargrave 2026-07-23 06:07:33	LT-AF-Z:LP-DIR-AF	g	155	u	8	273			pmagpy-4.4.0	1.42e-05	1.34e-07	1.46e-07	7.19e-08
D6A-1171a_LP-DIR-AF-157	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.7	263.4	 45.8 	 2.000e-02	0	0.00	0.00	11	273	This study	hargrave 2026-07-23 06:10:58	LT-AF-Z:LP-DIR-AF	g	156	u	8	273			pmagpy-4.4.0	1.36e-05	1.29e-07	1.38e-07	7.04e-08
D6A-1171a_LP-DIR-AF-158	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	263.2	 45.3 	 2.250e-02	0	0.00	0.00	12	273	This study	hargrave 2026-07-23 06:14:23	LT-AF-Z:LP-DIR-AF	g	157	u	8	273			pmagpy-4.4.0	1.31e-05	1.24e-07	1.33e-07	6.86e-08
D6A-1171a_LP-DIR-AF-159	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	262.6	 44.7 	 2.500e-02	0	0.00	0.00	13	273	This study	hargrave 2026-07-23 06:17:48	LT-AF-Z:LP-DIR-AF	g	158	u	8	273			pmagpy-4.4.0	1.27e-05	1.19e-07	1.26e-07	6.76e-08
D6A-1171a_LP-DIR-AF-160	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	262.2	 43.8 	 2.750e-02	0	0.00	0.00	14	273	This study	hargrave 2026-07-23 06:21:13	LT-AF-Z:LP-DIR-AF	g	159	u	8	273			pmagpy-4.4.0	1.22e-05	1.14e-07	1.22e-07	6.70e-08
D6A-1171a_LP-DIR-AF-161	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	261.5	 43.2 	 3.000e-02	0	0.00	0.00	15	273	This study	hargrave 2026-07-23 06:24:38	LT-AF-Z:LP-DIR-AF	g	160	u	8	273			pmagpy-4.4.0	1.19e-05	1.10e-07	1.16e-07	6.64e-08
D6A-1171a_LP-DIR-AF-162	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	261.0	 41.7 	 3.500e-02	0	0.00	0.00	16	273	This study	hargrave 2026-07-23 06:28:04	LT-AF-Z:LP-DIR-AF	g	161	u	8	273			pmagpy-4.4.0	1.11e-05	1.02e-07	1.08e-07	6.38e-08
D6A-1171a_LP-DIR-AF-163	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	259.9	 40.3 	 4.000e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-23 06:31:30	LT-AF-Z:LP-DIR-AF	g	162	u	8	273			pmagpy-4.4.0	1.05e-05	9.64e-08	1.00e-07	6.20e-08
D6A-1171a_LP-DIR-AF-164	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	259.4	 39.2 	 4.500e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-23 06:34:58	LT-AF-Z:LP-DIR-AF	g	163	u	8	273			pmagpy-4.4.0	9.99e-06	9.13e-08	9.44e-08	5.95e-08
D6A-1171a_LP-DIR-AF-165	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	258.3	 38.0 	 5.000e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-23 06:38:24	LT-AF-Z:LP-DIR-AF	g	164	u	8	273			pmagpy-4.4.0	9.54e-06	8.56e-08	8.74e-08	5.69e-08
D6A-1171a_LP-DIR-AF-166	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	257.5	 36.2 	 5.500e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-23 06:41:51	LT-AF-Z:LP-DIR-AF	g	165	u	8	273			pmagpy-4.4.0	9.01e-06	7.91e-08	8.15e-08	5.64e-08
D6A-1171a_LP-DIR-AF-167	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	256.3	 35.0 	 6.000e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-23 06:45:18	LT-AF-Z:LP-DIR-AF	g	166	u	8	273			pmagpy-4.4.0	8.53e-06	7.55e-08	7.31e-08	5.30e-08
D6A-1171a_LP-DIR-AF-168	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	255.4	 33.3 	 6.500e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-23 06:48:44	LT-AF-Z:LP-DIR-AF	g	167	u	8	273			pmagpy-4.4.0	8.12e-06	6.90e-08	6.95e-08	5.07e-08
D6A-1171a_LP-DIR-AF-169	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	254.1	 31.8 	 7.000e-02	0	0.00	0.00	23	273	This study	hargrave 2026-07-23 06:52:11	LT-AF-Z:LP-DIR-AF	g	168	u	8	273			pmagpy-4.4.0	7.68e-06	6.43e-08	6.41e-08	4.69e-08
D6A-1171a_LP-DIR-AF-170	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	253.1	 30.0 	 7.500e-02	0	0.00	0.00	24	273	This study	hargrave 2026-07-23 06:55:38	LT-AF-Z:LP-DIR-AF	g	169	u	8	273			pmagpy-4.4.0	7.27e-06	5.82e-08	5.87e-08	4.46e-08
D6A-1171a_LP-DIR-AF-171	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	252.1	 28.3 	 8.000e-02	0	0.00	0.00	25	273	This study	hargrave 2026-07-23 06:59:05	LT-AF-Z:LP-DIR-AF	g	170	u	8	273			pmagpy-4.4.0	6.89e-06	5.48e-08	5.24e-08	4.18e-08
D6A-1171a_LP-DIR-AF-172	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.6	251.2	 27.2 	 8.500e-02	0	0.00	0.00	26	273	This study	hargrave 2026-07-23 07:02:32	LT-AF-Z:LP-DIR-AF	g	171	u	8	273			pmagpy-4.4.0	6.57e-06	5.10e-08	4.87e-08	3.85e-08
D6A-1171a_LP-DIR-AF-173	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.5	250.2	 25.3 	 9.000e-02	0	0.00	0.00	27	273	This study	hargrave 2026-07-23 07:05:59	LT-AF-Z:LP-DIR-AF	g	172	u	8	273			pmagpy-4.4.0	6.19e-06	4.61e-08	4.30e-08	3.64e-08
D6A-1171a_LP-DIR-AF-174	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.5	249.8	 24.2 	 9.500e-02	0	0.00	0.00	28	273	This study	hargrave 2026-07-23 07:09:27	LT-AF-Z:LP-DIR-AF	g	173	u	8	273			pmagpy-4.4.0	5.88e-06	4.16e-08	3.96e-08	3.36e-08
D6A-1171a_LP-DIR-AF-175	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.5	249.4	 23.1 	 1.000e-01	0	0.00	0.00	29	273	This study	hargrave 2026-07-23 07:12:54	LT-AF-Z:LP-DIR-AF	g	174	u	8	273			pmagpy-4.4.0	5.56e-06	3.95e-08	3.51e-08	3.19e-08
D6A-1171a_LP-DIR-AF-176	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.5	248.4	 22.5 	 1.050e-01	0	0.00	0.00	30	273	This study	hargrave 2026-07-23 07:16:22	LT-AF-Z:LP-DIR-AF	g	175	u	8	273			pmagpy-4.4.0	5.31e-06	3.71e-08	3.30e-08	2.86e-08
D6A-1171a_LP-DIR-AF-177	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.5	248.4	 21.9 	 1.100e-01	0	0.00	0.00	31	273	This study	hargrave 2026-07-23 07:19:50	LT-AF-Z:LP-DIR-AF	g	176	u	8	273			pmagpy-4.4.0	4.99e-06	3.32e-08	2.82e-08	2.81e-08
D6A-1171a_LP-DIR-AF-178	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.5	248.4	 22.2 	 1.150e-01	0	0.00	0.00	32	273	This study	hargrave 2026-07-23 07:23:17	LT-AF-Z:LP-DIR-AF	g	177	u	8	273			pmagpy-4.4.0	4.77e-06	3.19e-08	2.75e-08	2.68e-08
D6A-1171a_LP-DIR-AF-179	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.5	248.6	 22.1 	 1.200e-01	0	0.00	0.00	33	273	This study	hargrave 2026-07-23 07:26:46	LT-AF-Z:LP-DIR-AF	g	178	u	8	273			pmagpy-4.4.0	4.52e-06	3.10e-08	2.58e-08	2.55e-08
D6A-1171a_LP-DIR-AF-180	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.5	249.3	 22.1 	 1.250e-01	0	0.00	0.00	34	273	This study	hargrave 2026-07-23 07:30:14	LT-AF-Z:LP-DIR-AF	g	179	u	8	273			pmagpy-4.4.0	4.27e-06	3.04e-08	2.59e-08	2.45e-08
D6A-1171a_LP-DIR-AF-181	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.5	250.0	 22.1 	 1.300e-01	0	0.00	0.00	35	273	This study	hargrave 2026-07-23 07:33:43	LT-AF-Z:LP-DIR-AF	g	180	u	8	273			pmagpy-4.4.0	4.01e-06	2.96e-08	2.54e-08	2.45e-08
D6A-1215a_LP-DIR-AF-182	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	189.3	 23.7 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-23 03:37:47	LT-NO:LP-DIR-AF	g	181	u	8	273			pmagpy-4.4.0	2.61e-05	2.30e-07	2.22e-07	1.28e-07
D6A-1215a_LP-DIR-AF-183	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	191.0	 24.1 	 1.000e-03	0	0.00	0.00	1	273	This study	hargrave 2026-07-23 03:39:22	LT-AF-Z:LP-DIR-AF	g	182	u	8	273			pmagpy-4.4.0	2.47e-05	2.14e-07	1.98e-07	1.15e-07
D6A-1215a_LP-DIR-AF-184	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	194.6	 26.1 	 2.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-23 03:40:57	LT-AF-Z:LP-DIR-AF	g	183	u	8	273			pmagpy-4.4.0	2.23e-05	1.93e-07	1.82e-07	9.71e-08
D6A-1215a_LP-DIR-AF-185	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	198.4	 28.5 	 3.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-23 03:42:32	LT-AF-Z:LP-DIR-AF	g	184	u	8	273			pmagpy-4.4.0	2.02e-05	1.81e-07	1.69e-07	8.72e-08
D6A-1215a_LP-DIR-AF-186	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	201.8	 30.8 	 4.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-23 03:45:58	LT-AF-Z:LP-DIR-AF	g	185	u	8	273			pmagpy-4.4.0	1.88e-05	1.75e-07	1.62e-07	8.59e-08
D6A-1215a_LP-DIR-AF-187	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	203.7	 31.9 	 5.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-23 03:49:23	LT-AF-Z:LP-DIR-AF	g	186	u	8	273			pmagpy-4.4.0	1.81e-05	1.70e-07	1.57e-07	8.53e-08
D6A-1215a_LP-DIR-AF-188	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	206.6	 33.4 	 7.500e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-23 03:52:48	LT-AF-Z:LP-DIR-AF	g	187	u	8	273			pmagpy-4.4.0	1.71e-05	1.57e-07	1.50e-07	8.49e-08
D6A-1215a_LP-DIR-AF-189	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	207.6	 33.7 	 1.000e-02	0	0.00	0.00	7	273	This study	hargrave 2026-07-23 03:56:13	LT-AF-Z:LP-DIR-AF	g	188	u	8	273			pmagpy-4.4.0	1.65e-05	1.51e-07	1.41e-07	8.39e-08
D6A-1215a_LP-DIR-AF-190	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	208.0	 33.7 	 1.250e-02	0	0.00	0.00	8	273	This study	hargrave 2026-07-23 03:59:39	LT-AF-Z:LP-DIR-AF	g	189	u	8	273			pmagpy-4.4.0	1.60e-05	1.50e-07	1.40e-07	8.27e-08
D6A-1215a_LP-DIR-AF-191	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	208.3	 33.8 	 1.500e-02	0	0.00	0.00	9	273	This study	hargrave 2026-07-23 04:03:05	LT-AF-Z:LP-DIR-AF	g	190	u	8	273			pmagpy-4.4.0	1.55e-05	1.44e-07	1.35e-07	8.09e-08
D6A-1215a_LP-DIR-AF-192	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	208.3	 33.8 	 1.750e-02	0	0.00	0.00	10	273	This study	hargrave 2026-07-23 04:06:30	LT-AF-Z:LP-DIR-AF	g	191	u	8	273			pmagpy-4.4.0	1.51e-05	1.39e-07	1.30e-07	7.88e-08
D6A-1215a_LP-DIR-AF-193	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	208.3	 33.6 	 2.000e-02	0	0.00	0.00	11	273	This study	hargrave 2026-07-23 04:09:56	LT-AF-Z:LP-DIR-AF	g	192	u	8	273			pmagpy-4.4.0	1.45e-05	1.34e-07	1.25e-07	7.59e-08
D6A-1215a_LP-DIR-AF-194	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	208.3	 33.6 	 2.250e-02	0	0.00	0.00	12	273	This study	hargrave 2026-07-23 04:13:23	LT-AF-Z:LP-DIR-AF	g	193	u	8	273			pmagpy-4.4.0	1.40e-05	1.28e-07	1.19e-07	6.98e-08
D6A-1215a_LP-DIR-AF-195	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	208.0	 33.5 	 2.500e-02	0	0.00	0.00	13	273	This study	hargrave 2026-07-23 04:16:50	LT-AF-Z:LP-DIR-AF	g	194	u	8	273			pmagpy-4.4.0	1.35e-05	1.23e-07	1.15e-07	7.07e-08
D6A-1215a_LP-DIR-AF-196	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	208.4	 33.2 	 2.750e-02	0	0.00	0.00	14	273	This study	hargrave 2026-07-23 04:20:18	LT-AF-Z:LP-DIR-AF	g	195	u	8	273			pmagpy-4.4.0	1.30e-05	1.16e-07	1.09e-07	6.64e-08
D6A-1215a_LP-DIR-AF-197	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	208.1	 33.1 	 3.000e-02	0	0.00	0.00	15	273	This study	hargrave 2026-07-23 04:23:45	LT-AF-Z:LP-DIR-AF	g	196	u	8	273			pmagpy-4.4.0	1.26e-05	1.12e-07	1.05e-07	6.44e-08
D6A-1215a_LP-DIR-AF-198	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.5	208.1	 32.9 	 3.500e-02	0	0.00	0.00	16	273	This study	hargrave 2026-07-23 04:27:12	LT-AF-Z:LP-DIR-AF	g	197	u	8	273			pmagpy-4.4.0	1.15e-05	1.03e-07	9.57e-08	5.95e-08
D6A-1215a_LP-DIR-AF-199	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	208.3	 32.4 	 4.000e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-23 04:30:39	LT-AF-Z:LP-DIR-AF	g	198	u	8	273			pmagpy-4.4.0	1.07e-05	9.51e-08	8.69e-08	5.35e-08
D6A-1215a_LP-DIR-AF-200	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	207.6	 32.1 	 4.500e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-23 04:34:06	LT-AF-Z:LP-DIR-AF	g	199	u	8	273			pmagpy-4.4.0	9.95e-06	8.79e-08	8.04e-08	4.97e-08
D6A-1215a_LP-DIR-AF-201	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	207.4	 31.7 	 5.000e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-23 04:37:34	LT-AF-Z:LP-DIR-AF	g	200	u	8	273			pmagpy-4.4.0	9.31e-06	8.17e-08	7.50e-08	4.67e-08
D6A-1215a_LP-DIR-AF-202	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	207.7	 31.1 	 5.500e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-23 04:41:02	LT-AF-Z:LP-DIR-AF	g	201	u	8	273			pmagpy-4.4.0	8.74e-06	7.65e-08	6.96e-08	4.28e-08
D6A-1215a_LP-DIR-AF-203	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	207.4	 30.8 	 6.000e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-23 04:44:31	LT-AF-Z:LP-DIR-AF	g	202	u	8	273			pmagpy-4.4.0	8.29e-06	7.22e-08	6.63e-08	4.03e-08
D6A-1215a_LP-DIR-AF-204	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	207.5	 30.0 	 6.500e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-23 04:48:09	LT-AF-Z:LP-DIR-AF	g	203	u	8	273			pmagpy-4.4.0	7.85e-06	6.86e-08	6.26e-08	3.79e-08
D6A-1215a_LP-DIR-AF-205	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	207.0	 29.6 	 7.000e-02	0	0.00	0.00	23	273	This study	hargrave 2026-07-23 04:51:36	LT-AF-Z:LP-DIR-AF	g	204	u	8	273			pmagpy-4.4.0	7.43e-06	6.36e-08	5.75e-08	3.53e-08
D6A-1215a_LP-DIR-AF-206	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	206.6	 28.7 	 7.500e-02	0	0.00	0.00	24	273	This study	hargrave 2026-07-23 04:55:04	LT-AF-Z:LP-DIR-AF	g	205	u	8	273			pmagpy-4.4.0	7.08e-06	6.07e-08	5.52e-08	3.39e-08
D6A-1215a_LP-DIR-AF-207	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	206.1	 28.0 	 8.000e-02	0	0.00	0.00	25	273	This study	hargrave 2026-07-23 04:58:31	LT-AF-Z:LP-DIR-AF	g	206	u	8	273			pmagpy-4.4.0	6.79e-06	5.73e-08	5.20e-08	3.21e-08
D6A-1215a_LP-DIR-AF-208	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	205.9	 27.2 	 8.500e-02	0	0.00	0.00	26	273	This study	hargrave 2026-07-23 05:01:59	LT-AF-Z:LP-DIR-AF	g	207	u	8	273			pmagpy-4.4.0	6.48e-06	5.52e-08	4.94e-08	3.08e-08
D6A-1215a_LP-DIR-AF-209	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	205.7	 25.8 	 9.000e-02	0	0.00	0.00	27	273	This study	hargrave 2026-07-23 05:05:27	LT-AF-Z:LP-DIR-AF	g	208	u	8	273			pmagpy-4.4.0	6.22e-06	5.26e-08	4.68e-08	3.01e-08
D6A-1215a_LP-DIR-AF-210	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	205.7	 24.8 	 9.500e-02	0	0.00	0.00	28	273	This study	hargrave 2026-07-23 05:08:55	LT-AF-Z:LP-DIR-AF	g	209	u	8	273			pmagpy-4.4.0	6.03e-06	5.01e-08	4.45e-08	2.74e-08
D6A-1215a_LP-DIR-AF-211	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	205.3	 24.6 	 1.000e-01	0	0.00	0.00	29	273	This study	hargrave 2026-07-23 05:12:23	LT-AF-Z:LP-DIR-AF	g	210	u	8	273			pmagpy-4.4.0	5.81e-06	4.90e-08	4.29e-08	2.65e-08
D6A-1215a_LP-DIR-AF-212	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	205.4	 23.1 	 1.050e-01	0	0.00	0.00	30	273	This study	hargrave 2026-07-23 05:15:51	LT-AF-Z:LP-DIR-AF	g	211	u	8	273			pmagpy-4.4.0	5.58e-06	4.84e-08	4.15e-08	2.62e-08
D6A-1215a_LP-DIR-AF-213	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	205.0	 22.4 	 1.100e-01	0	0.00	0.00	31	273	This study	hargrave 2026-07-23 05:19:20	LT-AF-Z:LP-DIR-AF	g	212	u	8	273			pmagpy-4.4.0	5.45e-06	4.60e-08	4.00e-08	2.54e-08
D6A-1215a_LP-DIR-AF-214	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	204.9	 21.3 	 1.150e-01	0	0.00	0.00	32	273	This study	hargrave 2026-07-23 05:22:49	LT-AF-Z:LP-DIR-AF	g	213	u	8	273			pmagpy-4.4.0	5.26e-06	4.46e-08	3.82e-08	2.46e-08
D6A-1215a_LP-DIR-AF-215	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	204.4	 20.5 	 1.200e-01	0	0.00	0.00	33	273	This study	hargrave 2026-07-23 05:26:18	LT-AF-Z:LP-DIR-AF	g	214	u	8	273			pmagpy-4.4.0	5.14e-06	4.42e-08	3.74e-08	2.50e-08
D6A-1215a_LP-DIR-AF-216	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	204.3	 19.1 	 1.250e-01	0	0.00	0.00	34	273	This study	hargrave 2026-07-23 05:29:47	LT-AF-Z:LP-DIR-AF	g	215	u	8	273			pmagpy-4.4.0	4.98e-06	4.18e-08	3.55e-08	2.37e-08
D6A-1215a_LP-DIR-AF-217	D6A-1215a	D6A-1215a_LP-DIR-AF	    0.4	204.1	 18.0 	 1.300e-01	0	0.00	0.00	35	273	This study	hargrave 2026-07-23 05:33:16	LT-AF-Z:LP-DIR-AF	g	216	u	8	273			pmagpy-4.4.0	4.82e-06	4.25e-08	3.43e-08	2.31e-08
D6A-1249a_LP-DIR-AF-218	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.1	102.2	 34.3 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-22 14:49:53	LT-NO:LP-DIR-AF	g	217	u	8	273			pmagpy-4.4.0	2.04e-08	2.84e-10	1.52e-10	2.71e-10
D6A-1249a_LP-DIR-AF-219	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.0	101.7	 34.2 	0	0	0.00	0.00	1	273	This study	hargrave 2026-07-23 11:19:17	LT-NO:LP-DIR-AF	g	218	u	8	273			pmagpy-4.4.0	2.04e-08	2.62e-10	1.35e-10	2.60e-10
D6A-1249a_LP-DIR-AF-220	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.0	101.8	 33.7 	 1.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-23 11:20:52	LT-AF-Z:LP-DIR-AF	g	219	u	8	273			pmagpy-4.4.0	2.02e-08	2.58e-10	1.41e-10	2.60e-10
D6A-1249a_LP-DIR-AF-221	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.0	102.2	 32.2 	 2.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-23 11:22:27	LT-AF-Z:LP-DIR-AF	g	220	u	8	273			pmagpy-4.4.0	2.01e-08	2.46e-10	1.33e-10	2.61e-10
D6A-1249a_LP-DIR-AF-222	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.0	102.3	 31.0 	 3.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-23 11:24:02	LT-AF-Z:LP-DIR-AF	g	221	u	8	273			pmagpy-4.4.0	1.95e-08	2.42e-10	1.40e-10	2.58e-10
D6A-1249a_LP-DIR-AF-223	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.8	102.5	 31.1 	 4.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-23 11:25:37	LT-AF-Z:LP-DIR-AF	g	222	u	8	273			pmagpy-4.4.0	1.96e-08	2.40e-10	1.40e-10	1.32e-10
D6A-1249a_LP-DIR-AF-224	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	101.6	 29.0 	 5.000e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-23 11:27:12	LT-AF-Z:LP-DIR-AF	g	223	u	8	273			pmagpy-4.4.0	1.95e-08	2.30e-10	1.22e-10	1.29e-10
D6A-1249a_LP-DIR-AF-225	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	103.0	 27.3 	 7.500e-03	0	0.00	0.00	7	273	This study	hargrave 2026-07-23 11:28:48	LT-AF-Z:LP-DIR-AF	g	224	u	8	273			pmagpy-4.4.0	1.86e-08	2.12e-10	1.14e-10	1.18e-10
D6A-1249a_LP-DIR-AF-226	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.8	101.9	 26.9 	 1.000e-02	0	0.00	0.00	8	273	This study	hargrave 2026-07-23 11:30:23	LT-AF-Z:LP-DIR-AF	g	225	u	8	273			pmagpy-4.4.0	1.85e-08	2.15e-10	1.21e-10	1.08e-10
D6A-1249a_LP-DIR-AF-227	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	100.6	 23.4 	 1.250e-02	0	0.00	0.00	9	273	This study	hargrave 2026-07-23 11:31:58	LT-AF-Z:LP-DIR-AF	g	226	u	8	273			pmagpy-4.4.0	1.84e-08	2.10e-10	1.03e-10	1.08e-10
D6A-1249a_LP-DIR-AF-228	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	102.6	 23.9 	 1.500e-02	0	0.00	0.00	10	273	This study	hargrave 2026-07-23 11:33:33	LT-AF-Z:LP-DIR-AF	g	227	u	8	273			pmagpy-4.4.0	1.81e-08	1.86e-10	9.11e-11	1.16e-10
D6A-1249a_LP-DIR-AF-229	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	102.7	 25.7 	 1.750e-02	0	0.00	0.00	11	273	This study	hargrave 2026-07-23 11:35:08	LT-AF-Z:LP-DIR-AF	g	228	u	8	273			pmagpy-4.4.0	1.65e-08	1.97e-10	3.44e-11	9.78e-11
D6A-1249a_LP-DIR-AF-230	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.8	104.6	 25.5 	 2.000e-02	0	0.00	0.00	12	273	This study	hargrave 2026-07-23 11:36:44	LT-AF-Z:LP-DIR-AF	g	229	u	8	273			pmagpy-4.4.0	1.65e-08	2.19e-10	6.74e-11	9.08e-11
D6A-1249a_LP-DIR-AF-231	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	104.1	 24.8 	 2.250e-02	0	0.00	0.00	13	273	This study	hargrave 2026-07-23 11:38:19	LT-AF-Z:LP-DIR-AF	g	230	u	8	273			pmagpy-4.4.0	1.53e-08	1.88e-10	5.21e-11	7.32e-11
D6A-1249a_LP-DIR-AF-232	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	101.3	 24.1 	 2.500e-02	0	0.00	0.00	14	273	This study	hargrave 2026-07-23 11:39:54	LT-AF-Z:LP-DIR-AF	g	231	u	8	273			pmagpy-4.4.0	1.50e-08	1.79e-10	4.19e-11	7.29e-11
D6A-1249a_LP-DIR-AF-233	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	102.0	 23.1 	 2.750e-02	0	0.00	0.00	15	273	This study	hargrave 2026-07-23 11:41:30	LT-AF-Z:LP-DIR-AF	g	232	u	8	273			pmagpy-4.4.0	1.55e-08	1.68e-10	2.97e-11	9.92e-11
D6A-1249a_LP-DIR-AF-234	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.8	093.7	 23.6 	 3.000e-02	0	0.00	0.00	16	273	This study	hargrave 2026-07-23 11:43:05	LT-AF-Z:LP-DIR-AF	g	233	u	8	273			pmagpy-4.4.0	1.49e-08	1.62e-10	6.13e-11	1.39e-10
