tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.8	220.2	67.4	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:05:05	1.431e-05	4.29e-07	3.900e-02	3.65e-09	4.61e-09	4.94e-09	8	273	D6A-1464a_LP-DIR-AF-28	LT-AF-Z:LP-DIR-AF	g	27	pmagpy-4.4.0	D6A-1464a	u	9.000e-02	0	0.00	0.00	27	273
	This study		0.8	220.3	67.3	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:06:41	1.441e-05	4.32e-07	3.927e-02	3.82e-09	4.41e-09	4.89e-09	8	273	D6A-1464a_LP-DIR-AF-29	LT-AF-Z:LP-DIR-AF	g	28	pmagpy-4.4.0	D6A-1464a	u	9.500e-02	0	0.00	0.00	28	273
	This study		0.8	226.0	68.9	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:08:16	1.451e-05	4.35e-07	3.955e-02	3.81e-09	4.52e-09	4.88e-09	8	273	D6A-1464a_LP-DIR-AF-30	LT-AF-Z:LP-DIR-AF	g	29	pmagpy-4.4.0	D6A-1464a	u	1.000e-01	0	0.00	0.00	29	273
	This study		0.8	220.1	67.8	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:09:52	1.481e-05	4.44e-07	4.036e-02	3.87e-09	4.33e-09	4.63e-09	8	273	D6A-1464a_LP-DIR-AF-31	LT-AF-Z:LP-DIR-AF	g	30	pmagpy-4.4.0	D6A-1464a	u	1.050e-01	0	0.00	0.00	30	273
	This study		0.8	220.6	69.1	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:11:28	1.491e-05	4.47e-07	4.064e-02	3.96e-09	4.11e-09	4.92e-09	8	273	D6A-1464a_LP-DIR-AF-32	LT-AF-Z:LP-DIR-AF	g	31	pmagpy-4.4.0	D6A-1464a	u	1.100e-01	0	0.00	0.00	31	273
	This study		0.8	216.3	69.1	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:13:04	1.502e-05	4.50e-07	4.091e-02	4.15e-09	4.46e-09	5.04e-09	8	273	D6A-1464a_LP-DIR-AF-33	LT-AF-Z:LP-DIR-AF	g	32	pmagpy-4.4.0	D6A-1464a	u	1.150e-01	0	0.00	0.00	32	273
	This study		0.8	222.8	70.2	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:14:41	1.552e-05	4.65e-07	4.227e-02	4.34e-09	4.54e-09	4.90e-09	8	273	D6A-1464a_LP-DIR-AF-34	LT-AF-Z:LP-DIR-AF	g	33	pmagpy-4.4.0	D6A-1464a	u	1.200e-01	0	0.00	0.00	33	273
	This study		0.8	219.8	69.3	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:16:17	1.532e-05	4.59e-07	4.173e-02	3.89e-09	4.79e-09	4.98e-09	8	273	D6A-1464a_LP-DIR-AF-35	LT-AF-Z:LP-DIR-AF	g	34	pmagpy-4.4.0	D6A-1464a	u	1.250e-01	0	0.00	0.00	34	273
	This study		0.8	220.5	67.9	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:17:54	1.512e-05	4.53e-07	4.118e-02	4.21e-09	4.79e-09	4.93e-09	8	273	D6A-1464a_LP-DIR-AF-36	LT-AF-Z:LP-DIR-AF	g	35	pmagpy-4.4.0	D6A-1464a	u	1.300e-01	0	0.00	0.00	35	273
	This study		0.3	161.9	82.1	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 14:36:37	2.156e-04	5.70e-06	5.182e-01	1.35e-08	2.65e-08	4.04e-08	8	273	D6A-1465a_LP-DIR-AF-37	LT-NO:LP-DIR-AF	g	36	pmagpy-4.4.0	D6A-1465a	u	0	0	0.00	0.00	0	273
	This study		0.5	172.8	82.3	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:19:48	2.156e-04	5.70e-06	5.182e-01	3.08e-08	3.44e-08	4.12e-08	8	273	D6A-1465a_LP-DIR-AF-38	LT-NO:LP-DIR-AF	g	37	pmagpy-4.4.0	D6A-1465a	u	0	0	0.00	0.00	1	273
	This study		0.5	173.0	81.6	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:23:15	2.016e-04	5.33e-06	4.845e-01	2.91e-08	3.34e-08	3.95e-08	8	273	D6A-1465a_LP-DIR-AF-39	LT-AF-Z:LP-DIR-AF	g	38	pmagpy-4.4.0	D6A-1465a	u	1.000e-03	0	0.00	0.00	2	273
	This study		0.6	172.2	80.4	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:26:41	1.638e-04	4.33e-06	3.936e-01	2.52e-08	2.97e-08	3.58e-08	8	273	D6A-1465a_LP-DIR-AF-40	LT-AF-Z:LP-DIR-AF	g	39	pmagpy-4.4.0	D6A-1465a	u	2.000e-03	0	0.00	0.00	3	273
