Specimen_ID,Specimen_description,Specimen_azimuth,Specimen_plunge,Specimen_mass[g],Specimen_vol[cc],Specimen_coordinate,Uchannel_length[cm],Uchannel_area[cm2],Sample_ID,Sample_description,Site_ID,Site_description,Site_lat,Site_lon,Site_coordinate,Site_bedding_dip,Site_dip_azimuth,Locality_ID,Locality_description,Expedition_ID,Expedition_description,material_ID,material_description,material_manufacturer,material_composition,material_mineral_name,material_grain_length[um],material_grain_L/W_ratio,composition_parameter_X,composition_parameter_Y,oxidation_parameter_Z
D6A-1926b,chip for rock magnetic experiments,,,,,1926,,,D6A-1926,0.3 to 0.5 cm with sulfide up to 1 cm sulfides include the peacock colored bornite,D6A-1926,Severson unit BAN (l); Severson description: T-HOMOG; rock type: augite troctolite; sulfide 3%,47.6989,-91.8362,1926,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1913a,oriented specimen for remanence,0,-90,,,1913,,,D6A-1913,0.3 to 0.5 cm with sulfides up to 0.5,D6A-1913,Severson unit BAN (l); Severson description: T-HOMOG; rock type: troctolite; sulfide 5%,47.6989,-91.8362,1913,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1913b,chip for rock magnetic experiments,,,,,1913,,,D6A-1913,0.3 to 0.5 cm with sulfides up to 0.5,D6A-1913,Severson unit BAN (l); Severson description: T-HOMOG; rock type: troctolite; sulfide 5%,47.6989,-91.8362,1913,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1899a,oriented specimen for remanence,0,-90,,,1899,,,D6A-1899,0.2 cm with plag laths up to 2 cm with igneous foliation,D6A-1899,Severson unit U3; Severson description: ORT; rock type: olivine-rich troctolite; sulfide 0%,47.6989,-91.8362,1899,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1899b,chip for rock magnetic experiments,,,,,1899,,,D6A-1899,0.2 cm with plag laths up to 2 cm with igneous foliation,D6A-1899,Severson unit U3; Severson description: ORT; rock type: olivine-rich troctolite; sulfide 0%,47.6989,-91.8362,1899,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1888a,oriented specimen for remanence,0,-90,,,1888,,,D6A-1888,0.3 to 0.5 cm grain size; on the box Mark has this grouped as U3 but seems more natural fit in the BAN (which is what he has labeled on box),D6A-1888,Severson unit U3; Severson description: AGT; rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1888,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1888b,chip for rock magnetic experiments,,,,,1888,,,D6A-1888,0.3 to 0.5 cm grain size; on the box Mark has this grouped as U3 but seems more natural fit in the BAN (which is what he has labeled on box),D6A-1888,Severson unit U3; Severson description: AGT; rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1888,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1880a,oriented specimen for remanence,0,-90,,,1880,,,D6A-1880,0.3 to 0.5 cm grain size; on the box Mark has this grouped as U3 but seems more natural fit in the BAN (which is what he has labeled on box),D6A-1880,Severson unit U3; Severson description: AGT; rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1880,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1880b,chip for rock magnetic experiments,,,,,1880,,,D6A-1880,0.3 to 0.5 cm grain size; on the box Mark has this grouped as U3 but seems more natural fit in the BAN (which is what he has labeled on box),D6A-1880,Severson unit U3; Severson description: AGT; rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1880,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1868a,oriented specimen for remanence,0,-90,,,1868,,,D6A-1868,fine-grained and more green than other peridotites in this interval,D6A-1868,Severson unit U3; Severson description: PER; rock type: peridotite; sulfide 0%,47.6989,-91.8362,1868,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1868b,chip for rock magnetic experiments,,,,,1868,,,D6A-1868,fine-grained and more green than other peridotites in this interval,D6A-1868,Severson unit U3; Severson description: PER; rock type: peridotite; sulfide 0%,47.6989,-91.8362,1868,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1861a,oriented specimen for remanence,0,-90,,,1861,,,D6A-1861,0.5 to 1 mm dark grey with vein of green serpentinization,D6A-1861,Severson unit U3; Severson description: FELD PER; rock type: feldspathic peridotite; sulfide 0%,47.6989,-91.8362,1861,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1861b,chip for rock magnetic experiments,,,,,1861,,,D6A-1861,0.5 to 1 mm dark grey with vein of green serpentinization,D6A-1861,Severson unit U3; Severson description: FELD PER; rock type: feldspathic peridotite; sulfide 0%,47.6989,-91.8362,1861,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1857a,oriented specimen for remanence,0,-90,,,1857,,,D6A-1857,0.5 to 1 mm turqoise blue blebs of secondary Cu alteration possibly atacamite-group associated with Cl-rich alteration; likely after Cu sulfides,D6A-1857,Severson unit U3; Severson description: FELD PER; rock type: feldspathic peridotite; sulfide 2%,47.6989,-91.8362,1857,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1857b,chip for rock magnetic experiments,,,,,1857,,,D6A-1857,0.5 to 1 mm turqoise blue blebs of secondary Cu alteration possibly atacamite-group associated with Cl-rich alteration; likely after Cu sulfides,D6A-1857,Severson unit U3; Severson description: FELD PER; rock type: feldspathic peridotite; sulfide 2%,47.6989,-91.8362,1857,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1849a,oriented specimen for remanence,0,-90,,,1849,,,D6A-1849,0.25 mm grain size with rust-colored wet alteration spots/droplets on cut core surface; interpreted as Fe-hydroxychloride alteration possibly hibbingite-related associated with Cl-rich fluids; chalky white alteration blebs,D6A-1849,Severson unit U3; Severson description: PERIDOTITE ABUND. CL DROPS!!!; rock type: peridotite; sulfide 0%,47.6989,-91.8362,1849,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1849b,chip for rock magnetic experiments,,,,,1849,,,D6A-1849,0.25 mm grain size with rust-colored wet alteration spots/droplets on cut core surface; interpreted as Fe-hydroxychloride alteration possibly hibbingite-related associated with Cl-rich fluids; chalky white alteration blebs,D6A-1849,Severson unit U3; Severson description: PERIDOTITE ABUND. CL DROPS!!!; rock type: peridotite; sulfide 0%,47.6989,-91.8362,1849,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1845a,oriented specimen for remanence,0,-90,,,1845,,,D6A-1845,0.25 mm grain size with rust-colored wet alteration spots/droplets on cut core surface; interpreted as Fe-hydroxychloride alteration possibly hibbingite-related associated with Cl-rich fluids; chalky white alteration blebs,D6A-1845,Severson unit U3; Severson description: PERIDOTITE ABUND. CL DROPS!!!; rock type: peridotite; sulfide 0%,47.6989,-91.8362,1845,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1845b,chip for rock magnetic experiments,,,,,1845,,,D6A-1845,0.25 mm grain size with rust-colored wet alteration spots/droplets on cut core surface; interpreted as Fe-hydroxychloride alteration possibly hibbingite-related associated with Cl-rich fluids; chalky white alteration blebs,D6A-1845,Severson unit U3; Severson description: PERIDOTITE ABUND. CL DROPS!!!; rock type: peridotite; sulfide 0%,47.6989,-91.8362,1845,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1833a,oriented specimen for remanence,0,-90,,,1833,,,D6A-1833,0.25 mm grain size with rust-colored wet alteration spots/droplets on cut core surface; interpreted as Fe-hydroxychloride alteration possibly hibbingite-related associated with Cl-rich fluids; chalky white alteration blebs,D6A-1833,Severson unit U3; Severson description: PERIDOTITE ABUND. CL DROPS!!!; rock type: peridotite; sulfide 2%,47.6989,-91.8362,1833,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1833b,chip for rock magnetic experiments,,,,,1833,,,D6A-1833,0.25 mm grain size with rust-colored wet alteration spots/droplets on cut core surface; interpreted as Fe-hydroxychloride alteration possibly hibbingite-related associated with Cl-rich fluids; chalky white alteration blebs,D6A-1833,Severson unit U3; Severson description: PERIDOTITE ABUND. CL DROPS!!!; rock type: peridotite; sulfide 2%,47.6989,-91.8362,1833,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1822a,oriented specimen for remanence,0,-90,,,1822,,,D6A-1822,0.5 mm grain size with no more rust-colored alteration,D6A-1822,Severson unit U3; Severson description: PERIDOTITE; rock type: peridotite; sulfide 1%,47.6989,-91.8362,1822,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1822b,chip for rock magnetic experiments,,,,,1822,,,D6A-1822,0.5 mm grain size with no more rust-colored alteration,D6A-1822,Severson unit U3; Severson description: PERIDOTITE; rock type: peridotite; sulfide 1%,47.6989,-91.8362,1822,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1806a,oriented specimen for remanence,0,-90,,,1806,,,D6A-1806,0.2 to 0.5 cm grain size,D6A-1806,Severson unit BAN (u); Severson description: AT HOMG.; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1806,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1806b,chip for rock magnetic experiments,,,,,1806,,,D6A-1806,0.2 to 0.5 cm grain size,D6A-1806,Severson unit BAN (u); Severson description: AT HOMG.; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1806,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1789a,oriented specimen for remanence,0,-90,,,1789,,,D6A-1789,0.3 to 0.5 cm grain size,D6A-1789,Severson unit BAN (u); Severson description: AGT (CP(BN)=Po); rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1789,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1789b,chip for rock magnetic experiments,,,,,1789,,,D6A-1789,0.3 to 0.5 cm grain size,D6A-1789,Severson unit BAN (u); Severson description: AGT (CP(BN)=Po); rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1789,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1779a,oriented specimen for remanence,0,-90,,,1779,,,D6A-1779,0.3 to 0.5 cm grain sie with sulfides up to 0.4 cm in size,D6A-1779,Severson unit BAN (u); Severson description: AGT (CP(BN)=Po); rock type: augute troctolite; sulfide 3%,47.6989,-91.8362,1779,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1779b,chip for rock magnetic experiments,,,,,1779,,,D6A-1779,0.3 to 0.5 cm grain sie with sulfides up to 0.4 cm in size,D6A-1779,Severson unit BAN (u); Severson description: AGT (CP(BN)=Po); rock type: augute troctolite; sulfide 3%,47.6989,-91.8362,1779,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
