sample name, footage, sample type, Severson unit, Severson description, rock type, sulfide (%), our description, group, lithologies, geologic classes, geologic types, method codes, age, age sigma, age low, age high, age unit, age citation, mass a (g), mass b (g), mass c (g), mass d (g), chip c note, chip d note, thick section
D6A-1861, 1861, quarter core, U3, FELD PER, feldspathic peridotite, 0, 0.5 to 1 mm dark grey with vein of green serpentinization, Ultramafic, Peridotite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 28.7052, 0.16086, , , , , 
D6A-1857, 1857, quarter core, U3, FELD PER, feldspathic peridotite, 2, 0.5 to 1 mm turqoise blue blebs of secondary Cu alteration possibly atacamite-group associated with Cl-rich alteration; likely after Cu sulfides, Ultramafic, Peridotite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 23.526621, 0.20167, , , , , 
D6A-1849, 1849, quarter core, U3, PERIDOTITE ABUND. CL DROPS!!!, peridotite, 0, 0.25 mm grain size with rust-colored wet alteration spots/droplets on cut core surface; interpreted as Fe-hydroxychloride alteration possibly hibbingite-related associated with Cl-rich fluids; chalky white alteration blebs, Ultramafic, Peridotite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 29.939251, 0.17419, 0.13747, , , , 
D6A-1845, 1845, quarter core, U3, PERIDOTITE ABUND. CL DROPS!!!, peridotite, 0, 0.25 mm grain size with rust-colored wet alteration spots/droplets on cut core surface; interpreted as Fe-hydroxychloride alteration possibly hibbingite-related associated with Cl-rich fluids; chalky white alteration blebs, Ultramafic, Peridotite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 24.92988, 0.19534, 0.11408, , , , 
D6A-1833, 1833, quarter core, U3, PERIDOTITE ABUND. CL DROPS!!!, peridotite, 2, 0.25 mm grain size with rust-colored wet alteration spots/droplets on cut core surface; interpreted as Fe-hydroxychloride alteration possibly hibbingite-related associated with Cl-rich fluids; chalky white alteration blebs, Ultramafic, Peridotite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 26.77598, 0.18623, 0.12858, , , , yes
D6A-1822, 1822, quarter core, U3, PERIDOTITE, peridotite, 1, 0.5 mm grain size with no more rust-colored alteration, Ultramafic, Peridotite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 23.405109, 0.16236, , , , , yes
D6A-1806, 1806, quarter core, BAN (u), AT HOMG., anorthositic troctolite, 0, 0.2 to 0.5 cm grain size, BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 24.01466, 0.1963, 0.09956, , , , 
D6A-1789, 1789, quarter core, BAN (u), AGT (CP(BN)=Po), augite troctolite, 0, 0.3 to 0.5 cm grain size, BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 27.95797, 0.13872, 0.17935, , , , yes
D6A-1779, 1779, quarter core, BAN (u), AGT (CP(BN)=Po), augute troctolite, 3, 0.3 to 0.5 cm grain sie with sulfides up to 0.4 cm in size, BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 26.2983, 0.11128, , , , , 
D6A-1762, 1762, quarter core, BAN (u), AGT (CP(BN)>Po), augite troctolite, 3, 0.3 to 0.7 cm grain size with sulfides up to 0.4 cm in sie and a 1.5 cm mafic xenolith, BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 25.09214, 0.14967, , , , , yes
D6A-1727, 1727, quarter core, BAN (u), AGT-(OG?) HET, augite troctolite, 5, 0.3 to 0.5 cm grain size with a large patch of sulfides (4 to 5 cm), BAN, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 21.116751, 0.12225, 0.27775, 0.0977, , pure sulfide crystal, 
D6A-1699, 1699, quarter core, BH (l), AT/T-HOMOG, anorthositic troctolite, 1, 0.3 to 0.7 cm grain size with very little sulfides, BH, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 25.29357, 0.17323, 0.16196, 0.09129, , oxide-rich plagioclase, 
D6A-1605, 1605, quarter core, U2, AT-HOMOG, anorthositic troctolite, 0.5, 0.2 to 0.5 cm grain size, Ultramafic, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 20.919331, 0.17344, 0.09494, 0.02385, , plagioclase chip, 
D6A-1592, 1592, quarter core, BH (u), PIC-F.P., anorthositic troctolite, 0, 0.5 to 1 cm grain size and appears more like the aT unit than picrite, BH, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 24.851379, 0.11732, 0.20626, 0.00453, , olivine chip, 
D6A-1581, 1581, quarter core, BH (u), AT, anorthositic troctolite, 0, 1 to 1.4 mm grain size, BH, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 21.0504, 0.18511, , , , , yes
D6A-1566, 1566, quarter core, BH (u), Pic-F.P. lens, picrite, 0, 0.5 to 0.7 mm grain size, BH, Picrite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 28.560249, 0.18381, 0.17799, , , , yes
D6A-1561, 1561, quarter core, BH (u), AT, anorthositic troctolite, 1, 0.2 to 0.5 cm grain size, BH, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 26.34071, 0.14911, , , , , 
D6A-1551, 1551, quarter core, BH (u), SERP F.P., picrite, 1, 0.7 to 1 mm grain size, BH, Picrite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 32.519741, 0.14847, 0.14149, , , , yes
D6A-1528, 1528, quarter core, BH (u), AT-HOMOG, anorthositic troctolite, 0, 0.3 to 0.5 cm grain size, BH, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 27.483801, 0.13338, 0.14369, , , , 
D6A-1509, 1509, quarter core, BH (u), HET (PIC/ORT bnds) this in in ORT, anorthositic troctolite, 1, 0.5 to 1 cm grain size, BH, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 24.855949, 0.13248, 0.154, 0.04324, , plagioclase chip, 
D6A-1504, 1504, quarter core, BH (u), PIC-(F.P.), picrite, 1, 0.2 cm grain size, BH, Picrite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 28.05776, 0.17219, 0.1192, , , , 
D6A-1500, 1500, quarter core, BH (u), PIC-(F.P.), picrite, 2, 0.2 cm grain size, BH, Picrite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 27.825729, 0.17042, , , , , 
D6A-1465, 1465.5, quarter core, BH (u), AT, anorthositic troctolite, 2, 0.5 cm grain size with almost ophitic texture and some larger sulfides, BH, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 26.444929, 0.16324, , , , , 
D6A-1464, 1464, quarter core, BH (u), AT, anorthositic troctolite, 0, 1 to 2 mm grain size, BH, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 29.96596, 0.15632, 0.14367, , , , 
D6A-1463, 1462.75, quarter core, U1, PIC (at BH (u) contact; abund. Cl drops), picrite, 0, 1 mm grain size with abundant CL drops, Ultramafic, Picrite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 34.453739, 0.21066, , , , , 
D6A-1461, 1461, quarter core, U1, PIC (abund. Cl drops), picrite, 0, 1 mm grain size with white talc splotches and trace sulfides, Ultramafic, Picrite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 27.37863, 0.19026, , , , , 
D6A-1446, 1446, quarter core, U1, PIC (top 3 in grades to peridotite/dunite; abund. Cl drops), peridotite, 0, 0.3 cm grain size with 1 mm olivines, Ultramafic, Peridotite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 33.909248, 0.16029, , , , , 
